titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
La belle époque,https://www.imdb.com/title/tt9172422/?ref_=adv_li_tt,2019,tt9172422,595975,11000000
Anna,https://www.imdb.com/title/tt7456310/?ref_=adv_li_tt,2019,tt7456310,484641,34000000
Portrait de la jeune fille en feu,https://www.imdb.com/title/tt8613070/?ref_=adv_li_tt,2019,tt8613070,531428,5740000
Curiosa,https://www.imdb.com/title/tt7598076/?ref_=adv_li_tt,2019,tt7598076,487616,0
Le Chant du loup,https://www.imdb.com/title/tt7458762/?ref_=adv_li_tt,2019,tt7458762,484468,0
Blanche Comme Neige,https://www.imdb.com/title/tt8054066/?ref_=adv_li_tt,2019,tt8054066,487437,0
Lux Æterna,https://www.imdb.com/title/tt10272534/?ref_=adv_li_tt,2019,tt10272534,599377,0
Une fille facile,https://www.imdb.com/title/tt9632590/?ref_=adv_li_tt,2019,tt9632590,575479,0
Seules les bêtes,https://www.imdb.com/title/tt10409498/?ref_=adv_li_tt,2019,tt10409498,574321,5000000
Mon chien stupide,https://www.imdb.com/title/tt10143498/?ref_=adv_li_tt,2019,tt10143498,536506,0
Domino - La Guerre silencieuse,https://www.imdb.com/title/tt3282076/?ref_=adv_li_tt,2019,tt3282076,455957,7800000
The Operative,https://www.imdb.com/title/tt8000718/?ref_=adv_li_tt,2019,tt8000718,574207,0
J'accuse,https://www.imdb.com/title/tt2398149/?ref_=adv_li_tt,2019,tt2398149,399121,25300000
Sibyl,https://www.imdb.com/title/tt9173264/?ref_=adv_li_tt,2019,tt9173264,559401,0
J'ai perdu mon corps,https://www.imdb.com/title/tt9806192/?ref_=adv_li_tt,2019,tt9806192,586940,0
Martin Eden,https://www.imdb.com/title/tt4516162/?ref_=adv_li_tt,2019,tt4516162,582873,3800000
Lucky Day,https://www.imdb.com/title/tt7248248/?ref_=adv_li_tt,2019,tt7248248,477508,0
Les Misérables,https://www.imdb.com/title/tt10199590/?ref_=adv_li_tt,2019,tt10199590,586863,0
Paradise Beach,https://www.imdb.com/title/tt7511008/?ref_=adv_li_tt,2019,tt7511008,571650,0
"Mektoub, My Love: Intermezzo",https://www.imdb.com/title/tt8253606/?ref_=adv_li_tt,2019,tt8253606,504588,0
Proxima,https://www.imdb.com/title/tt7374926/?ref_=adv_li_tt,2019,tt7374926,478860,0
Hors Normes,https://www.imdb.com/title/tt8655470/?ref_=adv_li_tt,2019,tt8655470,579245,0
Celle que vous croyez,https://www.imdb.com/title/tt7552686/?ref_=adv_li_tt,2019,tt7552686,544404,0
Un divan à Tunis,https://www.imdb.com/title/tt9648886/?ref_=adv_li_tt,2019,tt9648886,582897,0
Les traducteurs,https://www.imdb.com/title/tt6270534/?ref_=adv_li_tt,2019,tt6270534,477018,0
La Vérité,https://www.imdb.com/title/tt8323120/?ref_=adv_li_tt,2019,tt8323120,517468,0
Atlantique,https://www.imdb.com/title/tt10199586/?ref_=adv_li_tt,2019,tt10199586,496967,1600000
Deux moi,https://www.imdb.com/title/tt10407272/?ref_=adv_li_tt,2019,tt10407272,583268,0
Qu'est-ce qu'on a encore fait au bon Dieu ?,https://www.imdb.com/title/tt6556670/?ref_=adv_li_tt,2019,tt6556670,505436,0
Chambre 212,https://www.imdb.com/title/tt10115562/?ref_=adv_li_tt,2019,tt10115562,595867,0
Papicha,https://www.imdb.com/title/tt9522080/?ref_=adv_li_tt,2019,tt9522080,592807,0
Deux,https://www.imdb.com/title/tt9845110/?ref_=adv_li_tt,2019,tt9845110,621744,0
Le Daim,https://www.imdb.com/title/tt8193790/?ref_=adv_li_tt,2019,tt8193790,582883,0
Madre,https://www.imdb.com/title/tt9234450/?ref_=adv_li_tt,2019,tt9234450,594692,0
La Nuit venue,https://www.imdb.com/title/tt9262952/?ref_=adv_li_tt,2019,tt9262952,636831,0
Furie,https://www.imdb.com/title/tt8246392/?ref_=adv_li_tt,2019,tt8246392,622654,0
Synonymes,https://www.imdb.com/title/tt7016254/?ref_=adv_li_tt,2019,tt7016254,501590,2500000
My Zoé,https://www.imdb.com/title/tt6290584/?ref_=adv_li_tt,2019,tt6290584,477657,0
L'Audition,https://www.imdb.com/title/tt8620154/?ref_=adv_li_tt,2019,tt8620154,575563,0
It Must Be Heaven,https://www.imdb.com/title/tt8359842/?ref_=adv_li_tt,2019,tt8359842,539531,0
L'intervention,https://www.imdb.com/title/tt8060774/?ref_=adv_li_tt,2019,tt8060774,484638,0
Alice,https://www.imdb.com/title/tt9120416/?ref_=adv_li_tt,2019,tt9120416,576002,0
Le jeune Ahmed,https://www.imdb.com/title/tt8359822/?ref_=adv_li_tt,2019,tt8359822,522373,0
Mon inconnue,https://www.imdb.com/title/tt8265928/?ref_=adv_li_tt,2019,tt8265928,570131,0
Frankie,https://www.imdb.com/title/tt8019694/?ref_=adv_li_tt,2019,tt8019694,505941,0
Adoration,https://www.imdb.com/title/tt7715270/?ref_=adv_li_tt,2019,tt7715270,487631,0
Nous finirons ensemble,https://www.imdb.com/title/tt8201404/?ref_=adv_li_tt,2019,tt8201404,542830,0
Adults in the Room,https://www.imdb.com/title/tt7493370/?ref_=adv_li_tt,2019,tt7493370,512056,0
Les Crevettes pailletées,https://www.imdb.com/title/tt6918220/?ref_=adv_li_tt,2019,tt6918220,532938,3500000
La fille au bracelet,https://www.imdb.com/title/tt7766886/?ref_=adv_li_tt,2019,tt7766886,582923,0
Sœurs d'armes,https://www.imdb.com/title/tt7858472/?ref_=adv_li_tt,2019,tt7858472,618326,5600000
Le mystère Henri Pick,https://www.imdb.com/title/tt8263936/?ref_=adv_li_tt,2019,tt8263936,566454,0
"Terra Willy, planète inconnue",https://www.imdb.com/title/tt8329148/?ref_=adv_li_tt,2019,tt8329148,580600,0
Jeanne,https://www.imdb.com/title/tt8669356/?ref_=adv_li_tt,2019,tt8669356,540111,0
Les Parfums,https://www.imdb.com/title/tt11748354/?ref_=adv_li_tt,2019,tt11748354,658905,0
Liberté,https://www.imdb.com/title/tt10199670/?ref_=adv_li_tt,2019,tt10199670,595924,0
Dernier amour,https://www.imdb.com/title/tt9105628/?ref_=adv_li_tt,2019,tt9105628,504605,0
